bottle,dominant_freq_50Hz,dominant_freq_100Hz,dominant_freq_150Hz,is_cracked
269,2.0,4.0,6.0,0
486,-2.0,-4.0,-6.0,0
487,6.0,12.0,18.0,0
488,2.0,4.0,6.0,0
489,4.0,8.0,12.0,0
490,6.0,12.0,18.0,0
491,4.0,8.0,12.0,0
492,-4.0,-8.0,-12.0,0
493,2.0,4.0,6.0,0
494,6.0,12.0,18.0,0
495,2.0,4.0,6.0,0
496,2.0,4.0,6.0,0
497,6.0,12.0,18.0,0
498,2.0,4.0,6.0,0
499,4.0,8.0,12.0,0
500,2.0,4.0,6.0,0
501,2.0,4.0,6.0,0
502,6.0,12.0,18.0,0
503,2.0,4.0,6.0,0
504,2.0,4.0,6.0,0
505,2.0,4.0,6.0,0
506,-4.0,-8.0,-12.0,0
507,2.0,4.0,6.0,0
508,2.0,4.0,6.0,0
509,4.0,8.0,12.0,0
510,2.0,4.0,6.0,0
511,14.0,28.0,42.0,1
512,-2.0,-4.0,-6.0,0
513,2.0,4.0,6.0,0
514,2.0,4.0,6.0,0
515,4.0,8.0,12.0,0
516,2.0,4.0,6.0,0
517,4.0,8.0,12.0,0
518,4.0,8.0,12.0,0
519,4.0,8.0,12.0,0
520,2.0,4.0,6.0,0
521,-2.0,-4.0,-6.0,0
522,2.0,4.0,6.0,0
523,6.0,12.0,18.0,0
524,-2.0,-4.0,-6.0,0
525,-2.0,-4.0,-6.0,0
526,4.0,8.0,12.0,0
527,14.0,28.0,42.0,1
528,-6.0,-12.0,-18.0,0
529,2.0,4.0,6.0,0
530,-4.0,-8.0,-12.0,0
531,2.0,4.0,6.0,0
532,2.0,4.0,6.0,0
533,2.0,4.0,6.0,0
534,2.0,4.0,6.0,0
535,2.0,4.0,6.0,0
536,2.0,4.0,6.0,0
537,2.0,4.0,6.0,0
538,2.0,4.0,6.0,0
539,4.0,8.0,12.0,0
540,-2.0,-4.0,-6.0,0
541,4.0,8.0,12.0,0
542,2.0,4.0,6.0,0
543,2.0,4.0,6.0,0
544,2.0,4.0,6.0,0
545,4.0,8.0,12.0,0
546,2.0,4.0,6.0,0
547,2.0,4.0,6.0,0
548,4.0,8.0,12.0,0
549,2.0,4.0,6.0,0
550,2.0,4.0,6.0,0
551,4.0,8.0,12.0,0
552,4.0,8.0,12.0,0
553,2.0,4.0,6.0,0
554,2.0,4.0,6.0,0
555,2.0,4.0,6.0,0
556,4.0,8.0,12.0,0
557,4.0,8.0,12.0,0
558,2.0,4.0,6.0,0
559,2.0,4.0,6.0,0
560,2.0,4.0,6.0,0
561,4.0,8.0,12.0,0
562,4.0,8.0,12.0,0
563,2.0,4.0,6.0,0
564,2.0,4.0,6.0,0
565,2.0,4.0,6.0,0
566,4.0,8.0,12.0,0
567,2.0,4.0,6.0,0
568,2.0,4.0,6.0,0
569,4.0,8.0,12.0,0
570,4.0,8.0,12.0,0
571,2.0,4.0,6.0,0
572,-4.0,-8.0,-12.0,0
573,6.0,12.0,18.0,0
574,4.0,8.0,12.0,0
575,-4.0,-8.0,-12.0,0
576,2.0,4.0,6.0,0
577,2.0,4.0,6.0,0
578,2.0,4.0,6.0,0
579,2.0,4.0,6.0,0
580,2.0,4.0,6.0,0
581,6.0,12.0,18.0,0
582,2.0,4.0,6.0,0
583,4.0,8.0,12.0,0
584,4.0,8.0,12.0,0
585,-4.0,-8.0,-12.0,0
586,2.0,4.0,6.0,0
587,-2.0,-4.0,-6.0,0
588,4.0,8.0,12.0,0
589,4.0,8.0,12.0,0
590,4.0,8.0,12.0,0
591,4.0,8.0,12.0,0
592,4.0,8.0,12.0,0
593,-4.0,-8.0,-12.0,0
594,-6.0,-12.0,-18.0,0
595,4.0,8.0,12.0,0
596,2.0,4.0,6.0,0
597,2.0,4.0,6.0,0
598,-2.0,-4.0,-6.0,0
599,2.0,4.0,6.0,0
600,4.0,8.0,12.0,0
601,2.0,4.0,6.0,0
602,2.0,4.0,6.0,0
603,2.0,4.0,6.0,0
604,4.0,8.0,12.0,0
605,-6.0,-12.0,-18.0,0
606,4.0,8.0,12.0,0
607,6.0,12.0,18.0,0
608,2.0,4.0,6.0,0
609,2.0,4.0,6.0,0
610,4.0,8.0,12.0,0
611,2.0,4.0,6.0,0
612,2.0,4.0,6.0,0
613,4.0,8.0,12.0,0
614,2.0,4.0,6.0,0
615,2.0,4.0,6.0,0
616,2.0,4.0,6.0,0
617,2.0,4.0,6.0,0
618,4.0,8.0,12.0,0
619,2.0,4.0,6.0,0
620,4.0,8.0,12.0,0
621,2.0,4.0,6.0,0
622,2.0,4.0,6.0,0
623,2.0,4.0,6.0,0
624,2.0,4.0,6.0,0
625,2.0,4.0,6.0,0
626,4.0,8.0,12.0,0
627,2.0,4.0,6.0,0
628,-2.0,-4.0,-6.0,0
629,2.0,4.0,6.0,0
630,6.0,12.0,18.0,0
631,4.0,8.0,12.0,0
632,4.0,8.0,12.0,0
633,2.0,4.0,6.0,0
634,2.0,4.0,6.0,0
635,2.0,4.0,6.0,0
636,4.0,8.0,12.0,0
637,-2.0,-4.0,-6.0,0
638,2.0,4.0,6.0,0
639,-2.0,-4.0,-6.0,0
640,6.0,12.0,18.0,0
641,-2.0,-4.0,-6.0,0
642,2.0,4.0,6.0,0
643,2.0,4.0,6.0,0
644,2.0,4.0,6.0,0
645,2.0,4.0,6.0,0
646,2.0,4.0,6.0,0
647,4.0,8.0,12.0,0
648,2.0,4.0,6.0,0
649,4.0,8.0,12.0,0
650,4.0,8.0,12.0,0
651,2.0,4.0,6.0,0
652,2.0,4.0,6.0,0
